x,y,radius
318,294,71.0719299316
319,288,71.0227890015
320,284,69.6463546753
320,280,69.4207992554
320,278,69.3955917358
319,275,69.3066864014
318,273,69.2857894897
318,271,69.1428222656
315,269,69.0677337646
314,269,69.1220016479
314,269,69.1159362793
311,270,69.05103302
306,270,68.9920120239
305,271,68.9970016479
304,270,68.9583816528
303,273,68.8368606567
302,275,68.7314605713
299,279,68.726600647
294,283,68.6552810669
292,291,69.395401001
289,294,69.4628067017
287,303,69.2733459473
283,319,69.3558273315
279,325,69.1674041748
277,341,69.4371490479
273,347,69.3793182373
273,356,68.5657577515
268,357,65.5172729492
268,358,61.508228302
266,358,52.0097122192
263,358,42.5118637085
263,358,19.5257225037
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
253,358,31.5159683228
256,358,45.0112075806
261,358,50.5099983215
267,357,53.021320343
271,358,55.5091056824
277,357,58.019493103
283,357,60.5186920166
295,357,64.0176773071
298,357,64.517539978
312,357,66.0171432495
326,356,67.0467224121
335,355,67.5907821655
347,355,68.1176452637
351,354,68.1488342285
367,355,68.6167907715
371,355,68.5894546509
386,350,68.5931015015
397,351,68.4690704346
407,350,68.5931015015
412,352,68.3594436646
426,351,68.8873519897
437,352,68.807800293
443,350,68.9167938232
454,354,69.1466827393
463,354,68.6823348999
475,355,69.1159439087
485,356,68.5657577515
492,356,68.0460357666
504,357,66.5170135498
511,358,65.0077896118
522,357,61.0185394287
528,358,57.0088691711
538,358,51.5098075867
547,358,37.0136108398
551,358,31.0162239075
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
453,358,17.0294857025
461,358,29.5170440674
470,358,33.015247345
479,358,38.013256073
499,358,43.0117263794
515,358,47.5106239319
527,358,50.5099983215
544,357,52.0217285156
556,357,51.022151947
579,358,51.0099029541
591,354,48.2105751038
601,347,39.7021141052
615,344,28.0402488708
625,347,18.4391880035
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
9,346,15.4030218124
16,342,23.6908149719
23,340,30.2201251984
31,342,35.3554382324
35,344,37.8847923279
40,354,40.749332428
51,356,39.5791358948
52,357,40.028213501
57,356,39.5791358948
59,356,40.5771865845
59,358,41.0122909546
55,357,41.5271987915
52,356,42.0744400024
47,357,42.5471305847
43,354,43.7865142822
41,348,42.323261261
39,345,41.7433624268
36,342,40.2648468018
32,337,38.9680328369
28,335,36.939239502
24,335,34.2966003418
23,335,33.5895309448
22,335,32.1909370422
20,335,31.2410984039
19,335,30.2201251984
17,335,29.410982132
16,335,29.124830246
15,333,29.8413467407
16,332,30.9557132721
15,331,31.7648601532
16,330,32.9318466187
17,329,34.0478591919
18,329,35.2456665039
20,328,36.4726905823
23,328,38.2002296448
27,329,40.3609695435
29,330,41.3673553467
33,331,43.2782707214
36,333,44.8136024475
37,333,44.936164856
44,340,47.8295326233
54,346,48.0246887207
60,345,47.7834663391
75,345,47.5659675598
85,345,47.473613739
100,346,46.8602180481
114,348,46.630191803
130,349,46.1009635925
145,351,45.5525245667
166,351,45.3267402649
190,352,44.9667701721
195,352,44.7717323303
217,353,44.4073066711
222,353,44.4073066711
241,354,44.2832794189
245,354,44.2832794189
261,354,43.7322387695
265,356,44.1022529602
274,355,43.6406784058
274,357,44.0455284119
278,357,44.0256614685
277,356,43.5718803406
277,356,43.5718803406
275,357,43.5460510254
272,356,43.5718803406
