X,Y
2.23651832,7.31976888
2.23654881,7.31774042
2.23405142,7.32540246
2.23272942,7.32098223
2.22851187,7.32570206
2.22993985,7.32475623
2.23032142,7.32876837
2.23024863,7.32936044
2.22935462,7.32843296
2.22919004,7.32985255
2.22733617,7.33137539
2.2256058,7.33139237
2.22915368,7.32888313
2.22355536,7.33050418
2.22332712,7.33674733
2.22298812,7.33913508
2.22629554,7.33462692
2.21642278,7.34107245
2.21677052,7.34224272
0.61379024,8.34846454
0.60901587,8.35957659
0.61226235,8.35535315
0.61257141,8.3529578
0.61374313,8.34878863
0.60506236,8.38325285
0.61723796,8.3470314
0.6079419,8.37358735
0.62327024,8.35503949
0.61466742,8.35612899
0.62032625,8.34577731
0.61867039,8.34022059
0.62164889,8.34961067
0.61786664,8.34400533
0.62358401,8.33775928
0.61912107,8.34064799
0.62017037,8.33733316
0.61280225,8.33977515
0.61805436,8.33124649
0.61671912,8.3331612
0.61319114,8.3342351
0.61648024,8.33127992
0.61842866,8.33165582
0.63088775,8.31325882
0.62619124,8.32611095
0.62614042,8.32788349
0.62355745,8.33008002
0.62646315,8.32287651
0.63004383,8.3312571
0.63080289,8.33058489
0.63977258,8.31301458
0.63826609,8.33257279
0.63225387,8.32121644
0.63201226,8.3267937
0.63584337,8.33741769
0.6385067,8.32557178
0.63750676,8.32929288
0.63922562,8.33464654
0.64487872,8.33549924
0.63011322,8.33293768
0.63232129,8.33795255
0.62646029,8.32717796
0.6333045,8.33464997
0.61086252,8.34165867
0.62137831,8.33412595
0.61410254,8.34622433
2.2330602,7.33850162
2.22658138,7.33500327
2.23322382,7.33001328
2.23360863,7.33146523
2.23053511,7.3303364
2.23111537,7.32300025
2.22132019,7.32654029
2.22501539,7.32146438
2.22501721,7.32607304
2.224735,7.32685673
2.22017501,7.36645703
2.22382527,7.38478537
2.22421295,7.41716038
2.22057563,7.44691587
0.82573217,8.34511518
0.7715794,8.33806953
0.75816228,8.33668285
0.73362075,8.33313024
0.72310903,8.33246716
0.70926148,8.32688949
0.70345751,8.32885534
0.70389273,8.32602203
0.7138418,8.32345904
0.70175011,8.32590023
0.71639226,8.32695891
0.71911979,8.32491416
0.73115489,8.3214006
0.73116938,8.32459675
0.78064788,8.32348994
0.82534383,8.31778375
2.22843605,7.41968895
2.24112775,7.38785578
2.23802737,7.38963606
2.24102072,7.36045678
